doi,all_authors,title,genre,published_date,year,journal_name,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa_normalized,oa_status_normalized,oa_host_type_normalized,oa_host_domain
10.1007/978-3-319-99052-1_3,Violeau L.|Bossy M.,Stochastic Lagrangian Approach for Wind Farm Simulation,book-chapter,2018-01-01,2018.0,Renewable Energy: Forecasting and Risk Management,2194-1009,False,False,Springer International Publishing,Accès ouvert,Green,Archive ouverte,"hal.inria.fr,hal.inria.fr,hal.inria.fr,hal.inria.fr,hal.inria.fr"
10.1016/j.cryobiol.2019.01.013,Hausswirth C.,Circulating soluble intercellular adhesion molecule-1 (sICAM-1) after exercise-induced muscular damage: Does the use of whole-body cryostimulation influence its concentration in blood?,journal-article,2019-04-01,2019.0,Cryobiology,0011-2240,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.3390/molecules24203798,Danchin E.G.J.,A Chemosensory GPCR as a Potential Target to Control the Root-Knot Nematode Meloidogyne incognita Parasitism in Plants,journal-article,2019-10-22,2019.0,Molecules,1420-3049,True,True,MDPI AG,Accès ouvert,Gold,Editeur et archive ouverte,"www.mdpi.com,doi.org,europepmc.org,www.ncbi.nlm.nih.gov,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.1016/j.inteco.2017.10.006,Bellone F.|Vu M.,Productivity and wage premiums: Evidence from Vietnamese ordinary and processing exporters,journal-article,2018-08-01,2018.0,International Economics,2110-7017,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,www.gredeg.cnrs.fr
10.1007/s41114-018-0012-9,Regimbau T.|Fournier J.D.|Coulon J.P.|Heitmann H.|Turconi M.|Meacher D.|Wei L.W.|Merzougui M.|Kéfélian F.|Cleva F.|Vinet J.Y.|Martellini L.|Boer M.|Pichot M.|Brillet A.|Bogaert G.|Man N.,"Prospects for observing and localizing gravitational-wave transients with Advanced LIGO, Advanced Virgo and KAGRA",journal-article,2018-04-26,2018.0,Living Reviews in Relativity,2367-3613,True,True,Springer Science and Business Media LLC,Accès ouvert,Gold,Editeur et archive ouverte,"link.springer.com,doi.org,europepmc.org,openresearch-repository.anu.edu.au,pure-oai.bham.ac.uk,dipot.ulb.ac.be,iris.unitn.it,link.springer.com,myresearchspace.uws.ac.uk,repositorio.unesp.br,repository.ubn.ru.nl,research.birmingham.ac.uk,pubblicazioni.unicam.it,www.ncbi.nlm.nih.gov,authors.library.caltech.edu,eprints.gla.ac.uk,orca.cf.ac.uk,strathprints.strath.ac.uk,www.zora.uzh.ch,digital.library.adelaide.edu.au,pure.mpg.de,www.osti.gov"
10.1364/OL.41.003992,Michel C.,Decoupled polarization dynamics of incoherent waves and bimodal spectral incoherent solitons,journal-article,2016-08-23,2016.0,Optics Letters,0146-9592,False,False,The Optical Society,Accès ouvert,Green,Archive ouverte,"lilloa.univ-lille.fr,pdfs.semanticscholar.org"
10.1159/000492817,Delotte J.|Antomarchi J.|Bongain A.|Moeglin D.,"The Pubic Diastasis Measurement, a Key Element for the Diagnosis, Management, and Prognosis of the Bladder Exstrophy",journal-article,2018-09-19,2018.0,Fetal Diagnosis and Therapy,1015-3837,False,False,S. Karger AG,Accès fermé,Closed,Accès fermé,
10.4324/9781315629896,Hellio E.,Chinese Politics as Fragmented Authoritarianism,book,2016-10-04,2016.0,,,False,False,Routledge,Accès fermé,Closed,Accès fermé,
10.1016/j.bbrc.2019.06.040,Pouyssegur J.,Carbonic anhydrase XII expression is linked to suppression of Sonic hedgehog ligand expression in triple negative breast cancer cells,journal-article,2019-08-01,2019.0,Biochemical and Biophysical Research Communications,0006-291X,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1016/j.radonc.2018.08.008,Hannoun-Levi J.M.,Prognostic factors of colostomy free survival in patients presenting with locally advanced anal canal carcinoma: A pooled analysis of two prospective trials (KANAL 2 and ACCORD 03),journal-article,2018-12-01,2018.0,Radiotherapy and Oncology,0167-8140,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1109/EUSIPCO.2016.7760501,Flamary R.|El Khalil Harrane I.|Richard C.,Toward privacy-preserving diffusion strategies for adaptation and learning over networks,proceedings-article,2016-08-01,2016.0,2016 24th European Signal Processing Conference (EUSIPCO),,False,False,IEEE,Accès fermé,Closed,Accès fermé,
10.1117/12.2313700,Matter A.,Hi-5: a potential high-contrast thermal near-infrared imager for the VLTI,proceedings-article,2018-07-09,2018.0,Optical and Infrared Interferometry and Imaging VI,,False,False,SPIE,Accès ouvert,Green,Archive ouverte,"repository.arizona.edu,ore.exeter.ac.uk,arxiv.org,arxiv.org,orbi.uliege.be"
10.1051/0004-6361/202037856,Michel P.|Zhang Y.,Tidal distortion and disruption of rubble-pile bodies revisited. Soft-sphere discrete element analyses,journal-article,2020-08-01,2020.0,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Hybrid,Editeur et archive ouverte,"www.aanda.org,doi.org,arxiv.org,hal.archives-ouvertes.fr"
10.1134/S1063074017060062,Francour P.,First Biological Data on the Well Established Lessepsian Migrant Fistularia commersonii (Fistulariidae) in the Gulf of Tunis (Central Mediterranean),journal-article,2017-11-01,2017.0,Russian Journal of Marine Biology,1063-0740,False,False,Pleiades Publishing Ltd,Accès fermé,Closed,Accès fermé,
10.3917/pox.113.0171,Bargel L.,Les « originaires » en politique,journal-article,2016-01-01,2016.0,Politix,0295-2319,False,False,CAIRN,Accès ouvert,Green,Archive ouverte,"halshs.archives-ouvertes.fr,halshs.archives-ouvertes.fr"
10.1111/ecin.12897,Napoletano M.,RATIONAL HEURISTICS? EXPECTATIONS AND BEHAVIORS IN EVOLVING ECONOMIES WITH HETEROGENEOUS INTERACTING AGENTS,journal-article,2020-04-14,2020.0,Economic Inquiry,0095-2583,False,False,Wiley,Accès ouvert,Hybrid,Editeur et archive ouverte,"onlinelibrary.wiley.com,doi.org,spire.sciencespo.fr,spire.sciencespo.fr,www.ofce.sciences-po.fr,www.lem.sssup.it,www.econstor.eu,www.iris.sssup.it"
10.1093/annonc/mdv489,Ilie M.|Marquette C.H.|Fazzalari L.|Bouhlel L.|Hofman V.|Mouroux J.|Hofman P.|Lassalle S.,Comparative study of the PD-L1 status between surgically resected specimens and matched biopsies of NSCLC patients reveal major discordances: a potential issue for anti-PD-L1 therapeutic strategies,journal-article,2016-01-01,2016.0,Annals of Oncology,0923-7534,False,False,Elsevier BV,Accès ouvert,Bronze,Editeur,doi.org
10.1038/s41534-019-0206-3,Hugues M.,Optical spin locking of a solid-state qubit,journal-article,2019-11-12,2019.0,npj Quantum Information,2056-6387,True,True,Springer Science and Business Media LLC,Accès ouvert,Gold,Editeur et archive ouverte,"www.nature.com,doi.org,www.repository.cam.ac.uk,eprints.whiterose.ac.uk,arxiv.org,backend.orbit.dtu.dk"
10.33594/000000196,Moratal C.|Moratal C.|Arrighi N.|Dechesne C.A.|Dani C.,Control of Muscle Fibro-Adipogenic Progenitors by Myogenic Lineage is Altered in Aging and Duchenne Muscular Dystrophy,journal-article,2019-12-23,2019.0,Cellular Physiology and Biochemistry,1015-8987,True,True,Cell Physiol Biochem Press GmbH and Co KG,Accès ouvert,Gold,Editeur,"articles.cellphysiolbiochem.com,doi.org"
10.1007/s11238-016-9549-9,Duchêne S.|Guerci E.,Quantum-like models cannot account for the conjunction fallacy,journal-article,2016-04-22,2016.0,Theory and Decision,0040-5833,False,False,Springer Science and Business Media LLC,Accès ouvert,Hybrid,Editeur et archive ouverte,"link.springer.com,hal.archives-ouvertes.fr,pure.uvt.nl,hal.archives-ouvertes.fr,philpapers.org,arxiv.org,www.gredeg.cnrs.fr"
10.1051/eas/1678002,Mourard D.,A panorama of Astronomy in the coming decade,journal-article,2016-01-01,2016.0,EAS Publications Series,1633-4760,False,False,EDP Sciences,Accès fermé,Closed,Accès fermé,
10.1038/bjc.2017.276,Ambrosetti D.|Giuliano S.|Dufies M.|Guyot M.|Pagès G.|Ndiaye P.D.|Claren A.|Parola J.|Jacquel A.|Auberger P.,CXCL7 is a predictive marker of sunitinib efficacy in clear cell renal cell carcinomas,journal-article,2017-08-29,2017.0,British Journal of Cancer,0007-0920,False,False,Springer Science and Business Media LLC,Accès ouvert,Hybrid,Editeur et archive ouverte,"www.nature.com,europepmc.org,www.ncbi.nlm.nih.gov"
10.1093/GJI/GGX322,Rolland L.,Tsunami modeling with solid Earth-ocean-atmosphere coupled normal modes,journal-article,2017-08-02,2017.0,Geophysical Journal International,0956-540X,False,False,Oxford University Press (OUP),Accès ouvert,Bronze,Editeur et archive ouverte,"academic.oup.com,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr"
10.3389/fevo.2018.00173,Damien M.,Rapid Responses of Winter Aphid-Parasitoid Communities to Climate Warming,journal-article,2018-10-29,2018.0,Frontiers in Ecology and Evolution,2296-701X,True,True,Frontiers Media SA,Accès ouvert,Gold,Editeur et archive ouverte,"www.frontiersin.org,doi.org,hal-univ-rennes1.archives-ouvertes.fr,hal-univ-rennes1.archives-ouvertes.fr,pdfs.semanticscholar.org,doi.org"
10.1016/j.msard.2020.102374,Mondot L.|Cohen M.|Joly H.|Bresch S.|Suply C.|Lebrun-Frenay C.|Capet N.,Thalamic atrophy correlates with dysfunctional impulsivity in Multiple Sclerosis,journal-article,2020-09-01,2020.0,Multiple Sclerosis and Related Disorders,2211-0348,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.1145/3130800.3130888,Bousseau A.|Lafarge F.|Favreau J.,Photo2clipart,journal-article,2017-11-20,2017.0,ACM Transactions on Graphics,0730-0301,False,False,Association for Computing Machinery (ACM),Accès fermé,Closed,Accès fermé,
10.1016/j.amjsurg.2016.03.008,Massalou D.|Duranton-Tanneur V.|Pedeutour F.|Chevallier A.,Peritoneal carcinomatosis of colorectal cancer: novel clinical and molecular outcomes,journal-article,2017-02-01,2017.0,The American Journal of Surgery,0002-9610,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
10.7150/thno.23002,Ambrosetti D.|Pagès G.|Parola J.,Soluble CD146 is a predictive marker of pejorative evolution and of sunitinib efficacy in clear cell renal cell carcinoma,journal-article,2018-01-01,2018.0,Theranostics,1838-7640,True,True,Ivyspring International Publisher,Accès ouvert,Gold,Editeur et archive ouverte,"doi.org,europepmc.org,hal-amu.archives-ouvertes.fr,hal-amu.archives-ouvertes.fr,www.ncbi.nlm.nih.gov"
10.1016/j.therap.2016.09.014,Etienne-Grimaldi M.,Pharmacogenetics-based personalized therapy: Levels of evidence and recommendations from the French Network of Pharmacogenetics (RNPGx),journal-article,2017-04-01,2017.0,Therapies,0040-5957,False,False,Elsevier BV,Accès fermé,Closed,Accès fermé,
